list_name_encoded,request_date,rank,title,bestsellers_date,published_date,previous_published_date,list_name,list_display_name,publisher,author,isbn
audio-fiction,2018-03-01,1,READY PLAYER ONE,2018-02-24,2018-03-11,,Audio Fiction,Audio Fiction,Random House Audio,Ernest Cline,9780307913159
audio-fiction,2018-03-01,2,THE WOMAN IN THE WINDOW,2018-02-24,2018-03-11,,Audio Fiction,Audio Fiction,HarperAudio,A.J. Finn,9780062678430
audio-fiction,2018-03-01,3,THE GREAT ALONE,2018-02-24,2018-03-11,,Audio Fiction,Audio Fiction,Macmillan Audio,Kristin Hannah,9781427287540
audio-fiction,2018-03-01,4,THE WIFE BETWEEN US,2018-02-24,2018-03-11,,Audio Fiction,Audio Fiction,Macmillan Audio,Greer Hendricks and Sarah Pekkanen,9781427293046
audio-fiction,2018-03-01,5,BEFORE WE WERE YOURS,2018-02-24,2018-03-11,,Audio Fiction,Audio Fiction,Random House Audio,Lisa Wingate,9781524780685
audio-fiction,2018-03-01,6,ZERO HOUR,2018-02-24,2018-03-11,,Audio Fiction,Audio Fiction,Podium Publishing,Craig Alanson,9781772304961
audio-fiction,2018-03-01,7,ARTEMIS,2018-02-24,2018-03-11,,Audio Fiction,Audio Fiction,Audible Studios,Andy Weir,9781603932127
audio-fiction,2018-03-01,8,THE DISPATCHER,2018-02-24,2018-03-11,,Audio Fiction,Audio Fiction,Audible Studios,John Scalzi,9781603934084
audio-fiction,2018-03-01,9,DARK IN DEATH,2018-02-24,2018-03-11,,Audio Fiction,Audio Fiction,Brilliance Audio,JD Robb,9781536696882
audio-fiction,2018-03-01,10,ORIGIN,2018-02-24,2018-03-11,,Audio Fiction,Audio Fiction,Random House Audio,Dan Brown,9780739319307
audio-fiction,2018-03-01,11,ALTERED CARBON,2018-02-24,2018-03-11,,Audio Fiction,Audio Fiction,Tantor Audio,Richard K Morgan,9781400171378
audio-fiction,2018-03-01,12,LITTLE FIRES EVERYWHERE,2018-02-24,2018-03-11,,Audio Fiction,Audio Fiction,Penguin Audio,Celeste Ng,9780525498070
audio-fiction,2018-03-01,13,AN AMERICAN MARRIAGE,2018-02-24,2018-03-11,,Audio Fiction,Audio Fiction,HighBridge,Tayari Jones,9781681688343
audio-fiction,2018-03-01,14,STILL ME,2018-02-24,2018-03-11,,Audio Fiction,Audio Fiction,Penguin Audio,Jojo Moyes,9780525530169
audio-fiction,2018-03-01,15,RED SPARROW,2018-02-24,2018-03-11,,Audio Fiction,Audio Fiction,Simon & Schuster Audio,Jason Matthews,9781442361676
audio-fiction,2018-04-01,1,READY PLAYER ONE,2018-03-31,2018-04-15,2018-03-01,Audio Fiction,Audio Fiction,Random House Audio,Ernest Cline,9780307913159
audio-fiction,2018-04-01,2,THE GREAT ALONE,2018-03-31,2018-04-15,2018-03-01,Audio Fiction,Audio Fiction,Macmillan Audio,Kristin Hannah,9781427287540
audio-fiction,2018-04-01,3,SILENT CHILD,2018-03-31,2018-04-15,2018-03-01,Audio Fiction,Audio Fiction,Audible Studios,Sarah A Denzil,9781603932257
audio-fiction,2018-04-01,4,PARADOX BOUND,2018-03-31,2018-04-15,2018-03-01,Audio Fiction,Audio Fiction,Audible Studios,Peter Clines,9781603932219
audio-fiction,2018-04-01,5,RED SPARROW,2018-03-31,2018-04-15,2018-03-01,Audio Fiction,Audio Fiction,Simon & Schuster Audio,Jason Matthews,9781442361676
audio-fiction,2018-04-01,6,THE WOMAN IN THE WINDOW,2018-03-31,2018-04-15,2018-03-01,Audio Fiction,Audio Fiction,HarperAudio,A.J. Finn,9780062678430
audio-fiction,2018-04-01,7,AGENT IN PLACE,2018-03-31,2018-04-15,2018-03-01,Audio Fiction,Audio Fiction,Audible Studios,Mark Greaney,9781603934114
audio-fiction,2018-04-01,8,LITTLE FIRES EVERYWHERE,2018-03-31,2018-04-15,2018-03-01,Audio Fiction,Audio Fiction,Penguin Audio,Celeste Ng,9780525498070
audio-fiction,2018-04-01,9,LOOK FOR ME,2018-03-31,2018-04-15,2018-03-01,Audio Fiction,Audio Fiction,Brilliance Audio,Lisa Gardner,9781536609493
audio-fiction,2018-04-01,10,THE FINAL EMPIRE,2018-03-31,2018-04-15,2018-03-01,Audio Fiction,Audio Fiction,Macmillan Audio,Brandon Sanderson,9781427206374
audio-fiction,2018-04-01,11,THE SECRETS SHE KEEPS,2018-03-31,2018-04-15,2018-03-01,Audio Fiction,Audio Fiction,Simon & Schuster Audio,Michael Robotham,9781508237396
audio-fiction,2018-04-01,12,THE ROOSTER BAR,2018-03-31,2018-04-15,2018-03-01,Audio Fiction,Audio Fiction,Random House Audio,John Grisham,9780399565007
audio-fiction,2018-04-01,13,THE WIFE,2018-03-31,2018-04-15,2018-03-01,Audio Fiction,Audio Fiction,HarperAudio,Alafair Burke,9780062798473
audio-fiction,2018-04-01,14,THE GRAY MAN,2018-03-31,2018-04-15,2018-03-01,Audio Fiction,Audio Fiction,Audible Studios,Mark Greaney,9781603933261
audio-fiction,2018-04-01,15,ORIGIN,2018-03-31,2018-04-15,2018-03-01,Audio Fiction,Audio Fiction,Random House Audio,Dan Brown,9780739319307
audio-fiction,2018-05-01,1,READY PLAYER ONE,2018-04-28,2018-05-13,2018-04-01,Audio Fiction,Audio Fiction,Random House Audio,Ernest Cline,9780307913159
audio-fiction,2018-05-01,2,THE FALLEN,2018-04-28,2018-05-13,2018-04-01,Audio Fiction,Audio Fiction,Hachette Audio,David Baldacci,9781478999232
audio-fiction,2018-05-01,3,SCOURGED,2018-04-28,2018-05-13,2018-04-01,Audio Fiction,Audio Fiction,Random House Audio,Kevin Hearne,9780804147941
audio-fiction,2018-05-01,4,THE WIFE BETWEEN US,2018-04-28,2018-05-13,2018-04-01,Audio Fiction,Audio Fiction,Macmillan Audio,Greer Hendricks and Sarah Pekkanen,9781427293046
audio-fiction,2018-05-01,5,THE GREAT ALONE,2018-04-28,2018-05-13,2018-04-01,Audio Fiction,Audio Fiction,Macmillan Audio,Kristin Hannah,9781427287540
audio-fiction,2018-05-01,6,BEFORE WE WERE YOURS,2018-04-28,2018-05-13,2018-04-01,Audio Fiction,Audio Fiction,Random House Audio,Lisa Wingate,9781524780685
audio-fiction,2018-05-01,7,LITTLE FIRES EVERYWHERE,2018-04-28,2018-05-13,2018-04-01,Audio Fiction,Audio Fiction,Penguin Audio,Celeste Ng,9780525498070
audio-fiction,2018-05-01,8,ALL SYSTEMS RED,2018-04-28,2018-05-13,2018-04-01,Audio Fiction,Audio Fiction,Recorded Books,Martha Wells,9781501977824
audio-fiction,2018-05-01,9,TWISTED PREY,2018-04-28,2018-05-13,2018-04-01,Audio Fiction,Audio Fiction,Penguin Audio,John Sandford,9780525525158
audio-fiction,2018-05-01,10,GONE TO DUST,2018-04-28,2018-05-13,2018-04-01,Audio Fiction,Audio Fiction,Blackstone Audio,Matt Goldman,9781504768863
audio-fiction,2018-05-01,11,THE WOMAN IN THE WINDOW,2018-04-28,2018-05-13,2018-04-01,Audio Fiction,Audio Fiction,HarperAudio,A.J. Finn,9780062678430
audio-fiction,2018-05-01,12,CIRCE,2018-04-28,2018-05-13,2018-04-01,Audio Fiction,Audio Fiction,Hachette Audio,Madeline Miller,9781478975311
audio-fiction,2018-05-01,13,STINKER LETS LOOSE!,2018-04-28,2018-05-13,2018-04-01,Audio Fiction,Audio Fiction,Audible Studios,James Taylor Johnston,9781603934176
audio-fiction,2018-05-01,14,HEAD ON,2018-04-28,2018-05-13,2018-04-01,Audio Fiction,Audio Fiction,Audible Studios,John Scalzi,9781603934152
audio-fiction,2018-05-01,15,AN AMERICAN MARRIAGE,2018-04-28,2018-05-13,2018-04-01,Audio Fiction,Audio Fiction,HighBridge,Tayari Jones,9781681688343
audio-fiction,2018-06-01,1,THE OUTSIDER,2018-06-02,2018-06-17,2018-05-01,Audio Fiction,Audio Fiction,Simon & Schuster Audio,Stephen King,9781508252221
audio-fiction,2018-06-01,2,NORSE MYTHOLOGY,2018-06-02,2018-06-17,2018-05-01,Audio Fiction,Audio Fiction,HarperAudio,Neil Gaiman,9780062663641
audio-fiction,2018-06-01,3,THE FALLEN,2018-06-02,2018-06-17,2018-05-01,Audio Fiction,Audio Fiction,Hachette Audio,David Baldacci,9781478999232
audio-fiction,2018-06-01,4,READY PLAYER ONE,2018-06-02,2018-06-17,2018-05-01,Audio Fiction,Audio Fiction,Random House Audio,Ernest Cline,9780307913159
audio-fiction,2018-06-01,5,THE HANDMAID'S TALE,2018-06-02,2018-06-17,2018-05-01,Audio Fiction,Audio Fiction,Audible Studios,Margaret Atwood,9781603932110
audio-fiction,2018-06-01,6,THE WIFE BETWEEN US,2018-06-02,2018-06-17,2018-05-01,Audio Fiction,Audio Fiction,Macmillan Audio,Greer Hendricks and Sarah Pekkanen,9781427293046
audio-fiction,2018-06-01,7,LITTLE FIRES EVERYWHERE,2018-06-02,2018-06-17,2018-05-01,Audio Fiction,Audio Fiction,Penguin Audio,Celeste Ng,9780525498070
audio-fiction,2018-06-01,8,BEFORE WE WERE YOURS,2018-06-02,2018-06-17,2018-05-01,Audio Fiction,Audio Fiction,Random House Audio,Lisa Wingate,9781524780685
audio-fiction,2018-06-01,9,SHELTER IN PLACE,2018-06-02,2018-06-17,2018-05-01,Audio Fiction,Audio Fiction,Brilliance Audio,Nora Roberts,9781536696851
audio-fiction,2018-06-01,10,THE GREAT ALONE,2018-06-02,2018-06-17,2018-05-01,Audio Fiction,Audio Fiction,Macmillan Audio,Kristin Hannah,9781427287540
audio-fiction,2018-06-01,11,THE 17TH SUSPECT,2018-06-02,2018-06-17,2018-05-01,Audio Fiction,Audio Fiction,Hachette Audio,James Patterson and Maxine Paetro,9781549168031
audio-fiction,2018-06-01,12,"THE SECRET, BOOK & SCONE SOCIETY",2018-06-02,2018-06-17,2018-05-01,Audio Fiction,Audio Fiction,Dreamscape Media,Ellery Adams,9781520079660
audio-fiction,2018-06-01,13,SOMETIMES I LIE,2018-06-02,2018-06-17,2018-05-01,Audio Fiction,Audio Fiction,Macmillan Audio,Alice Feeney,9781427293374
audio-fiction,2018-06-01,14,THE WOMAN IN THE WINDOW,2018-06-02,2018-06-17,2018-05-01,Audio Fiction,Audio Fiction,HarperAudio,A.J. Finn,9780062678430
audio-fiction,2018-06-01,15,THEN SHE WAS GONE,2018-06-02,2018-06-17,2018-05-01,Audio Fiction,Audio Fiction,Dreamscape Media,Lisa Jewell,9781520098272
audio-fiction,2018-07-01,1,SOMETHING IN THE WATER,2018-06-30,2018-07-15,2018-06-01,Audio Fiction,Audio Fiction,Random House Audio,Catherine Steadman,9780525593591
audio-fiction,2018-07-01,2,THE PRESIDENT IS MISSING,2018-06-30,2018-07-15,2018-06-01,Audio Fiction,Audio Fiction,Hachette Audio,James Patterson and Bill Clinton,9781478998877
audio-fiction,2018-07-01,3,THE OUTSIDER,2018-06-30,2018-07-15,2018-06-01,Audio Fiction,Audio Fiction,Simon & Schuster Audio,Stephen King,9781508252221
audio-fiction,2018-07-01,4,THE SINGULARITY TRAP,2018-06-30,2018-07-15,2018-06-01,Audio Fiction,Audio Fiction,Audible Studios,Dennis E Taylor,9781603934190
audio-fiction,2018-07-01,5,BRIEF CASES,2018-06-30,2018-07-15,2018-06-01,Audio Fiction,Audio Fiction,Penguin Audio,Jim Butcher,9780525635291
audio-fiction,2018-07-01,6,THE WOMAN IN THE WINDOW,2018-06-30,2018-07-15,2018-06-01,Audio Fiction,Audio Fiction,HarperAudio,A.J. Finn,9780062678430
audio-fiction,2018-07-01,7,YEAR ONE,2018-06-30,2018-07-15,2018-06-01,Audio Fiction,Audio Fiction,Brilliance Audio,Nora Roberts,9781531834425
audio-fiction,2018-07-01,8,LITTLE FIRES EVERYWHERE,2018-06-30,2018-07-15,2018-06-01,Audio Fiction,Audio Fiction,Penguin Audio,Celeste Ng,9780525498070
audio-fiction,2018-07-01,9,SHELTER IN PLACE,2018-06-30,2018-07-15,2018-06-01,Audio Fiction,Audio Fiction,Brilliance Audio,Nora Roberts,9781536696851
audio-fiction,2018-07-01,10,THEN SHE WAS GONE,2018-06-30,2018-07-15,2018-06-01,Audio Fiction,Audio Fiction,Dreamscape Media,Lisa Jewell,9781520098272
audio-fiction,2018-07-01,11,READY PLAYER ONE,2018-06-30,2018-07-15,2018-06-01,Audio Fiction,Audio Fiction,Random House Audio,Ernest Cline,9780307913159
audio-fiction,2018-07-01,12,TOM CLANCY LINE OF SIGHT,2018-06-30,2018-07-15,2018-06-01,Audio Fiction,Audio Fiction,Random House Audio,Mike Maden,9781524780531
audio-fiction,2018-07-01,13,NORSE MYTHOLOGY,2018-06-30,2018-07-15,2018-06-01,Audio Fiction,Audio Fiction,HarperAudio,Neil Gaiman,9780062663641
audio-fiction,2018-07-01,14,THE HANDMAID'S TALE,2018-06-30,2018-07-15,2018-06-01,Audio Fiction,Audio Fiction,Audible Studios,Margaret Atwood,9781603932110
audio-fiction,2018-07-01,15,BEFORE WE WERE YOURS,2018-06-30,2018-07-15,2018-06-01,Audio Fiction,Audio Fiction,Random House Audio,Lisa Wingate,9781524780685
audio-fiction,2018-08-01,1,SOMETHING IN THE WATER,2018-07-28,2018-08-12,2018-07-01,Audio Fiction,Audio Fiction,Random House Audio,Catherine Steadman,9780525593591
audio-fiction,2018-08-01,2,THE PRESIDENT IS MISSING,2018-07-28,2018-08-12,2018-07-01,Audio Fiction,Audio Fiction,Hachette Audio,James Patterson and Bill Clinton,9781478998877
audio-fiction,2018-08-01,3,NEVERWHERE,2018-07-28,2018-08-12,2018-07-01,Audio Fiction,Audio Fiction,HarperAudio,Neil Gaiman,9780061549113
audio-fiction,2018-08-01,4,THE OUTSIDER,2018-07-28,2018-08-12,2018-07-01,Audio Fiction,Audio Fiction,Simon & Schuster Audio,Stephen King,9781508252221
audio-fiction,2018-08-01,5,SHARP OBJECTS,2018-07-28,2018-08-12,2018-07-01,Audio Fiction,Audio Fiction,Random House Audio,Gillian Flynn,9780739340189
audio-fiction,2018-08-01,6,THRAWN: ALLIANCES,2018-07-28,2018-08-12,2018-07-01,Audio Fiction,Audio Fiction,Random House Audio,Timothy Zahn,9780525634195
audio-fiction,2018-08-01,7,THE OTHER WOMAN,2018-07-28,2018-08-12,2018-07-01,Audio Fiction,Audio Fiction,HarperAudio,Daniel Silva,9780062835000
audio-fiction,2018-08-01,8,THEN SHE WAS GONE,2018-07-28,2018-08-12,2018-07-01,Audio Fiction,Audio Fiction,Dreamscape Media,Lisa Jewell,9781520098272
audio-fiction,2018-08-01,9,AGE OF WAR,2018-07-28,2018-08-12,2018-07-01,Audio Fiction,Audio Fiction,Recorded Books,Michael J Sullivan,9781490656236
audio-fiction,2018-08-01,10,SPYMASTER,2018-07-28,2018-08-12,2018-07-01,Audio Fiction,Audio Fiction,Simon & Schuster Audio,Brad Thor,9781508251835
audio-fiction,2018-08-01,11,LITTLE FIRES EVERYWHERE,2018-07-28,2018-08-12,2018-07-01,Audio Fiction,Audio Fiction,Penguin Audio,Celeste Ng,9780525498070
audio-fiction,2018-08-01,12,READY PLAYER ONE,2018-07-28,2018-08-12,2018-07-01,Audio Fiction,Audio Fiction,Random House Audio,Ernest Cline,9780307913159
audio-fiction,2018-08-01,13,THE HANDMAID'S TALE,2018-07-28,2018-08-12,2018-07-01,Audio Fiction,Audio Fiction,Audible Studios,Margaret Atwood,9781603932110
audio-fiction,2018-08-01,14,THE SINGULARITY TRAP,2018-07-28,2018-08-12,2018-07-01,Audio Fiction,Audio Fiction,Audible Studios,Dennis E Taylor,9781603934190
audio-fiction,2018-08-01,15,SHELTER IN PLACE,2018-07-28,2018-08-12,2018-07-01,Audio Fiction,Audio Fiction,Brilliance Audio,Nora Roberts,9781536696851
audio-fiction,2018-09-01,1,CRAZY RICH ASIANS,2018-09-01,2018-09-16,2018-08-01,Audio Fiction,Audio Fiction,Random House Audio,Kevin Kwan,9780804120777
audio-fiction,2018-09-01,2,SHARP OBJECTS,2018-09-01,2018-09-16,2018-08-01,Audio Fiction,Audio Fiction,Random House Audio,Gillian Flynn,9780739340189
audio-fiction,2018-09-01,3,SOMETHING IN THE WATER,2018-09-01,2018-09-16,2018-08-01,Audio Fiction,Audio Fiction,Random House Audio,Catherine Steadman,9780525593591
audio-fiction,2018-09-01,4,THE OUTSIDER,2018-09-01,2018-09-16,2018-08-01,Audio Fiction,Audio Fiction,Simon & Schuster Audio,Stephen King,9781508252221
audio-fiction,2018-09-01,5,THE PRESIDENT IS MISSING,2018-09-01,2018-09-16,2018-08-01,Audio Fiction,Audio Fiction,Hachette Audio,James Patterson and Bill Clinton,9781478998877
audio-fiction,2018-09-01,6,READY PLAYER ONE,2018-09-01,2018-09-16,2018-08-01,Audio Fiction,Audio Fiction,Random House Audio,Ernest Cline,9780307913159
audio-fiction,2018-09-01,7,THEN SHE WAS GONE,2018-09-01,2018-09-16,2018-08-01,Audio Fiction,Audio Fiction,Dreamscape Media,Lisa Jewell,9781520098272
audio-fiction,2018-09-01,8,WHAT ALICE FORGOT,2018-09-01,2018-09-16,2018-08-01,Audio Fiction,Audio Fiction,Penguin Audio,Liane Moriarty,9781101555019
audio-fiction,2018-09-01,9,LITTLE FIRES EVERYWHERE,2018-09-01,2018-09-16,2018-08-01,Audio Fiction,Audio Fiction,Penguin Audio,Celeste Ng,9780525498070
audio-fiction,2018-09-01,10,ELEANOR OLIPHANT IS COMPLETELY FINE,2018-09-01,2018-09-16,2018-08-01,Audio Fiction,Audio Fiction,Penguin Audio,Gail Honeyman,9781524749699
audio-fiction,2018-09-01,11,PIECES OF HER,2018-09-01,2018-09-16,2018-08-01,Audio Fiction,Audio Fiction,Blackstone Audio,Karin Slaughter,9781504780087
audio-fiction,2018-09-01,12,THE HUNT FOR RED OCTOBER,2018-09-01,2018-09-16,2018-08-01,Audio Fiction,Audio Fiction,Brilliance Audio,Tom Clancy,9781978636309
audio-fiction,2018-09-01,13,THE HITCHHIKER'S GUIDE TO THE GALAXY,2018-09-01,2018-09-16,2018-08-01,Audio Fiction,Audio Fiction,Random House Audio,Douglas Adams,9780739322215
audio-fiction,2018-09-01,14,THE ALICE NETWORK,2018-09-01,2018-09-16,2018-08-01,Audio Fiction,Audio Fiction,HarperAudio,Kate Quinn,9780062676603
audio-fiction,2018-09-01,15,CHINA RICH GIRLFRIEND,2018-09-01,2018-09-16,2018-08-01,Audio Fiction,Audio Fiction,Random House Audio,Kevin Kwan,9780553551914
audio-fiction,2018-10-01,1,WHERE THE CRAWDADS SING,2018-09-29,2018-10-14,2018-09-01,Audio Fiction,Audio Fiction,Penguin Audio,Delia Owens,9780525640370
audio-fiction,2018-10-01,2,MAVERICKS,2018-09-29,2018-10-14,2018-09-01,Audio Fiction,Audio Fiction,Podium,Craig Alanson,9781772306934
audio-fiction,2018-10-01,3,LETHAL WHITE,2018-09-29,2018-10-14,2018-09-01,Audio Fiction,Audio Fiction,Hachette Audio,Robert Galbraith,9781549119842
audio-fiction,2018-10-01,4,LEVERAGE IN DEATH,2018-09-29,2018-10-14,2018-09-01,Audio Fiction,Audio Fiction,Brilliance Audio,JD Robb,9781536696912
audio-fiction,2018-10-01,5,VINCE FLYNN: RED WAR,2018-09-29,2018-10-14,2018-09-01,Audio Fiction,Audio Fiction,Simon & Schuster Audio,Kyle Mills,9781508252405
audio-fiction,2018-10-01,6,CRAZY RICH ASIANS,2018-09-29,2018-10-14,2018-09-01,Audio Fiction,Audio Fiction,Random House Audio,Kevin Kwan,9780804120777
audio-fiction,2018-10-01,7,SHARP OBJECTS,2018-09-29,2018-10-14,2018-09-01,Audio Fiction,Audio Fiction,Random House Audio,Gillian Flynn,9780739340189
audio-fiction,2018-10-01,8,DOWN THE RIVER UNTO THE SEA,2018-09-29,2018-10-14,2018-09-01,Audio Fiction,Audio Fiction,Hachette Audio,Walter Mosley,9781478975861
audio-fiction,2018-10-01,9,HEART-SHAPED BOX,2018-09-29,2018-10-14,2018-09-01,Audio Fiction,Audio Fiction,HarperAudio,Joe Hill,9780061262395
audio-fiction,2018-10-01,10,THE EXTRAORDINARY LIFE OF SAM HELL,2018-09-29,2018-10-14,2018-09-01,Audio Fiction,Audio Fiction,Brilliance Audio,Robert Dugoni,9781543661613
audio-fiction,2018-10-01,11,THE OUTSIDER,2018-09-29,2018-10-14,2018-09-01,Audio Fiction,Audio Fiction,Simon & Schuster Audio,Stephen King,9781508252221
audio-fiction,2018-10-01,12,TIME'S CONVERT,2018-09-29,2018-10-14,2018-09-01,Audio Fiction,Audio Fiction,Penguin Audio,Deborah Harkness,9780525641469
audio-fiction,2018-10-01,13,A SIMPLE FAVOR,2018-09-29,2018-10-14,2018-09-01,Audio Fiction,Audio Fiction,HarperAudio,Darcey Bell,9780062658234
audio-fiction,2018-10-01,14,SOMETHING IN THE WATER,2018-09-29,2018-10-14,2018-09-01,Audio Fiction,Audio Fiction,Random House Audio,Catherine Steadman,9780525593591
audio-fiction,2018-10-01,15,THE ALICE NETWORK,2018-09-29,2018-10-14,2018-09-01,Audio Fiction,Audio Fiction,HarperAudio,Kate Quinn,9780062676603
audio-fiction,2018-11-01,1,WHERE THE CRAWDADS SING,2018-11-03,2018-11-18,2018-10-01,Audio Fiction,Audio Fiction,Penguin Audio,Delia Owens,9780525640370
audio-fiction,2018-11-01,2,THE RECKONING,2018-11-03,2018-11-18,2018-10-01,Audio Fiction,Audio Fiction,Random House Audio,John Grisham,9780525639268
audio-fiction,2018-11-01,3,EVERY BREATH,2018-11-03,2018-11-18,2018-10-01,Audio Fiction,Audio Fiction,Hachette Audio,Nicholas Sparks,9781478992660
audio-fiction,2018-11-01,4,THEN SHE WAS GONE,2018-11-03,2018-11-18,2018-10-01,Audio Fiction,Audio Fiction,Dreamscape Media,Lisa Jewell,9781520098272
audio-fiction,2018-11-01,5,THE WITCH ELM,2018-11-03,2018-11-18,2018-10-01,Audio Fiction,Audio Fiction,Penguin Audio,Tana French,9781984837998
audio-fiction,2018-11-01,6,DARK SACRED NIGHT,2018-11-03,2018-11-18,2018-10-01,Audio Fiction,Audio Fiction,"Little, Brown",Michael Connelly,9781549142321
audio-fiction,2018-11-01,7,A SPARK OF LIGHT,2018-11-03,2018-11-18,2018-10-01,Audio Fiction,Audio Fiction,Random House Audio,Jodi Picoult,9781984828101
audio-fiction,2018-11-01,8,HOLY GHOST,2018-11-03,2018-11-18,2018-10-01,Audio Fiction,Audio Fiction,Penguin Audio,John Sandford,9780525634348
audio-fiction,2018-11-01,9,LETHAL WHITE,2018-11-03,2018-11-18,2018-10-01,Audio Fiction,Audio Fiction,Hachette Audio,Robert Galbraith,9781549119842
audio-fiction,2018-11-01,10,THE CUCKOO'S CALLING,2018-11-03,2018-11-18,2018-10-01,Audio Fiction,Audio Fiction,Hachette Audio,Robert Galbraith,9781611134933
audio-fiction,2018-11-01,11,THE HAUNTING OF HILL HOUSE,2018-11-03,2018-11-18,2018-10-01,Audio Fiction,Audio Fiction,Blackstone Audio,Shirley Jackson,9781483052892
audio-fiction,2018-11-01,12,THIS IS HOW IT ALWAYS IS,2018-11-03,2018-11-18,2018-10-01,Audio Fiction,Audio Fiction,Macmillan Audio,Laurie Frankel,9781427282538
audio-fiction,2018-11-01,13,MAVERICKS,2018-11-03,2018-11-18,2018-10-01,Audio Fiction,Audio Fiction,Podium,Craig Alanson,9781772306934
audio-fiction,2018-11-01,14,THE CLOCKMAKER'S DAUGHTER,2018-11-03,2018-11-18,2018-10-01,Audio Fiction,Audio Fiction,Bolinda,Kate Morton,9781489453853
audio-fiction,2018-11-01,15,ELEANOR OLIPHANT IS COMPLETELY FINE,2018-11-03,2018-11-18,2018-10-01,Audio Fiction,Audio Fiction,Penguin Audio,Gail Honeyman,9781524749699
audio-fiction,2018-12-01,1,PAST TENSE,2018-12-01,2018-12-16,2018-11-01,Audio Fiction,Audio Fiction,Random House Audio,Lee Child,9781524774325
audio-fiction,2018-12-01,2,FIRE AND BLOOD,2018-12-01,2018-12-16,2018-11-01,Audio Fiction,Audio Fiction,Random House Audio,George R.R. Martin,9781984838704
audio-fiction,2018-12-01,3,NINE PERFECT STRANGERS,2018-12-01,2018-12-16,2018-11-01,Audio Fiction,Audio Fiction,Macmillan Audio,Liane Moriarty,9781427299130
audio-fiction,2018-12-01,4,WHERE THE CRAWDADS SING,2018-12-01,2018-12-16,2018-11-01,Audio Fiction,Audio Fiction,Penguin Audio,Delia Owens,9780525640370
audio-fiction,2018-12-01,5,LONG ROAD TO MERCY,2018-12-01,2018-12-16,2018-11-01,Audio Fiction,Audio Fiction,Hachette Audio,David Baldacci,9781478999287
audio-fiction,2018-12-01,6,THE RECKONING,2018-12-01,2018-12-16,2018-11-01,Audio Fiction,Audio Fiction,Random House Audio,John Grisham,9780525639268
audio-fiction,2018-12-01,7,LOOK ALIVE TWENTY-FIVE,2018-12-01,2018-12-16,2018-11-01,Audio Fiction,Audio Fiction,Random House Audio,Janet Evanovich,9780525501404
audio-fiction,2018-12-01,8,DARK SACRED NIGHT,2018-12-01,2018-12-16,2018-11-01,Audio Fiction,Audio Fiction,"Little, Brown",Michael Connelly,9781549142321
audio-fiction,2018-12-01,9,EVERY BREATH,2018-12-01,2018-12-16,2018-11-01,Audio Fiction,Audio Fiction,Hachette Audio,Nicholas Sparks,9781478992660
audio-fiction,2018-12-01,10,KINGDOM OF THE BLIND,2018-12-01,2018-12-16,2018-11-01,Audio Fiction,Audio Fiction,Macmillan Audio,Louise Penny,9781250308139
audio-fiction,2018-12-01,11,GOOD OMENS,2018-12-01,2018-12-16,2018-11-01,Audio Fiction,Audio Fiction,HarperAudio,Neil Gaiman and Terry Pratchett,9780061967078
audio-fiction,2018-12-01,12,HELL DIVERS IV: WOLVES,2018-12-01,2018-12-16,2018-11-01,Audio Fiction,Audio Fiction,Blackstone Audio,Nicholas Sansbury Smith,9781538553411
audio-fiction,2018-12-01,13,KINGDOMS AND CHAOS,2018-12-01,2018-12-16,2018-11-01,Audio Fiction,Audio Fiction,Podium,Kel Kade,9781772307504
audio-fiction,2018-12-01,14,ARTEMIS,2018-12-01,2018-12-16,2018-11-01,Audio Fiction,Audio Fiction,Audible Studios,Andy Weir,9781603932127
audio-fiction,2018-12-01,15,THE OTHER WOMAN,2018-12-01,2018-12-16,2018-11-01,Audio Fiction,Audio Fiction,Macmillan Audio,Sandie Jones,9781250299666
audio-fiction,2019-01-01,1,WHERE THE CRAWDADS SING,2018-12-29,2019-01-13,2018-12-01,Audio Fiction,Audio Fiction,Penguin Audio,Delia Owens,9780525640370
audio-fiction,2019-01-01,2,OF BLOOD AND BONE,2018-12-29,2019-01-13,2018-12-01,Audio Fiction,Audio Fiction,Brilliance Audio,Nora Roberts,9781531834517
audio-fiction,2019-01-01,3,ONE DAY IN DECEMBER,2018-12-29,2019-01-13,2018-12-01,Audio Fiction,Audio Fiction,Random House Audio,Josie Silver,9781984827135
audio-fiction,2019-01-01,4,THE RECKONING,2018-12-29,2019-01-13,2018-12-01,Audio Fiction,Audio Fiction,Random House Audio,John Grisham,9780525639268
audio-fiction,2019-01-01,5,NINE PERFECT STRANGERS,2018-12-29,2019-01-13,2018-12-01,Audio Fiction,Audio Fiction,Macmillan Audio,Liane Moriarty,9781427299130
audio-fiction,2019-01-01,6,LONG ROAD TO MERCY,2018-12-29,2019-01-13,2018-12-01,Audio Fiction,Audio Fiction,Hachette Audio,David Baldacci,9781478999287
audio-fiction,2019-01-01,7,FIRE AND BLOOD,2018-12-29,2019-01-13,2018-12-01,Audio Fiction,Audio Fiction,Random House Audio,George R.R. Martin,9781984838704
audio-fiction,2019-01-01,8,CIRCE,2018-12-29,2019-01-13,2018-12-01,Audio Fiction,Audio Fiction,Hachette Audio,Madeline Miller,9781478975311
